,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
1186,31/12/2004,2004,14.146,88.271,-74.125,-94.676,-80.763,0.453,-94.676,17.241,NA,17.241,5.8,NA,516.919,78.517,438.402,NA,378.766,469.764,83.0224,481.313,31.481,2.143,2.321,2.321,2.143,0,-114.667,-77.16,294.309,NA,NA,NA,NA,-164.817,0,378.766,INCY US EQUITY
1187,31/12/2005,2005,7.846,95.618,-87.772,-100.784,-92.592,-0.552,-100.784,16.052,12.527,3.525,3.9,NA,374.108,-19.397,393.505,NA,341.862,344.971,83.0224,353.976,27.857,1.423,3.573,3.573,1.423,0,-101.872,15.528,-34.342,NA,NA,NA,NA,-103.043,0,341.862,INCY US EQUITY
1188,31/12/2006,2006,27.643,0,27.643,-73.98,-66.569,0,-73.98,17.911,NA,17.911,3.3,NA,353.603,-84.908,438.511,NA,371.103,318.573,83.9727,327.761,49.34,2.073,5.916,5.916,2.073,0,-50.367,26.035,31.699,NA,NA,NA,NA,-74.166,0,371.103,INCY US EQUITY
1189,31/12/2007,2007,34.44,0,34.44,-85.28,-72.317,0,-85.28,24.032,NA,24.032,3.1,NA,275.695,-159.517,435.212,NA,386.556,256.43,84.5331,264.412,36.595,1.551,7.806,7.806,1.551,0,-92.694,170.362,12.325,NA,NA,NA,NA,-86.881,0,386.556,INCY US EQUITY
1190,31/12/2008,2008,3.919,0,3.919,-159.289,-146.218,0,-159.289,24.937,5.306,19.631,1.8,NA,232.388,-220.75,453.138,NA,396.167,198.024,97.3398,205.494,50.337,1.05,15.679,15.679,1.05,0,-140.86,105.893,104.88,NA,NA,NA,NA,-178.92,NA,NA,INCY US EQUITY
1191,31/12/2009,2009,9.265,NA,NA,-139.768,-123.078,0,-139.768,32.125,0,32.125,1.4,NA,712.39,-102.384,814.774,0,443.138,470.418,118.8933,656.055,132.826,163.661,65.796,20.964,163.661,0,12.358,16.452,242.247,NA,NA,NA,NA,-211.87,0,443.138,INCY US EQUITY
1192,31/12/2010,2010,169.878,0,169.878,14.049,38.534,0,14.049,43.323,0,43.323,1.1,NA,489.581,-88.644,578.225,0,293.432,424.168,123.2805,455.454,113.573,5.701,46.6,10.773,5.701,0,97.938,15.204,-145.054,NA,NA,NA,NA,-31.846,0,293.432,INCY US EQUITY
1193,31/12/2011,2011,94.455,0,94.455,-143.183,-116.193,0,-143.183,43.819,0,43.819,2.2,NA,328.962,-227.077,556.039,0,316.153,277.594,126.472,310.778,135.614,6.415,66.311,14.939,6.415,0,-161.715,-2.501,19.468,NA,NA,NA,NA,-186.54,0,316.153,INCY US EQUITY
1194,31/12/2012,2012,297.059,0.157,296.902,1.148,31.127,0.174,1.148,46.058,0,46.058,2.9,NA,330.419,-174.957,505.376,0,331.076,228.418,133.4622,309.514,136.074,70.951,69.995,13.961,70.951,0.278,-94.83,-1.988,47.711,NA,NA,NA,NA,-44.32,0,331.076,INCY US EQUITY
1195,31/12/2013,2013,354.947,0.63,354.317,-16.102,13.105,0.299,-16.102,38.652,0,38.652,3.2,NA,629.568,-193.108,822.676,0,661.567,509.004,162.9847,555.799,108.042,35.374,95.152,19.102,35.374,0.406,9.18,-37.397,275.589,NA,NA,NA,NA,-83.147,0,661.567,INCY US EQUITY
